FIPS,County,Mental Health Provider Rate,Mental Health Provider Ratio,% Uninsured,% Unemployed,% Children in Poverty,Average Number of Mentally Unhealthy Days,Population,% Rural,log_population
37001,Alamance,192.00179,521:1,12.580197056,3.394925088,16.0,5.1132514682,43158,26.44459353,10.67262307909541
37003,Alexander,90.47789,1105:1,11.926506544,3.2198967412,17.4,5.2668186957,8627,89.084622983,9.062652099076578
37005,Alleghany,229.23647,436:1,17.302539237,4.4772620722,24.5,5.5497508392,2217,100.0,7.7039102096163115
37007,Anson,86.76988,1152:1,12.467216785,4.033908214,33.0,5.4290528787,5549,77.76921333,8.621373010325902
37009,Ashe,177.36392999999998,564:1,13.603904444,3.0031201248,22.0,5.2628174529,5679,100.0,8.644530439877432
37011,Avery,478.33267,209:1,15.698793073,3.02641703,22.1,5.226335778,4325,100.0,8.37216741936598
37013,Beaufort,206.82988,483:1,12.207784229,4.0462427746,30.5,5.1335196043,9361,63.027411986,9.144307401371744
37015,Bertie,70.9136,1410:1,11.694702935,4.3768651414,33.5,5.3298081465,4280,100.0,8.361708288575842
37017,Bladen,101.7501,983:1,13.971539457,4.2237993523,29.1,5.5114526149,6365,100.0,8.758569510991506
37019,Brunswick,125.65326999999999,796:1,10.2509465,4.2059868087,16.8,4.9556526691,27313,36.381526486,10.215118058306537
37021,Buncombe,895.61111,112:1,13.109770556,2.7065655549,16.4,4.813131958,74976,22.303415822,11.224923341307521
37023,Burke,330.54857000000004,303:1,13.47497526,3.2802157392,24.4,5.4989310321,20779,45.923261391,9.94169814029988
37025,Cabarrus,346.22692,289:1,8.7938851026,3.2445663642,12.4,4.5024242116,62781,17.272058954,11.04740775890878
37027,Caldwell,110.45746999999999,905:1,13.088596295,3.3837174087,18.1,5.3522018717,17600,42.821008778,9.775654181026242
37029,Camden,53.874469999999995,1856:1,9.4065792303,3.2528856243,8.5,4.8758644053,2690,94.756156446,7.897296472595885
37031,Carteret,202.54256,494:1,12.258668047,3.2424826405,14.4,5.0970228215,14354,30.597169282,9.571783927990017
37033,Caswell,70.15390000000001,1425:1,12.478643296,3.5521628499,23.3,5.055634251,5093,99.828465869,8.535622326884605
37035,Catawba,274.53005,364:1,11.952563122,3.2910403568,15.6,4.9570396067,38487,35.157213125,10.55807580091745
37037,Chatham,178.86896,559:1,11.45377427,2.9571657431,11.7,4.6824296086,15972,64.036180114,9.678592468183112
37039,Cherokee,166.89476,599:1,13.45510805,3.8657913931,24.5,5.3066146459,5241,100.0,8.564267598802166
37041,Chowan,158.37593,631:1,11.456677266,3.6004056795,24.6,5.31729152,3167,68.419900788,8.06054004653864
37043,Clay,151.71949,659:1,13.265967094,3.7098692033,22.2,5.2113880929,1990,100.0,7.595889917718538
37045,Cleveland,163.74361,611:1,10.961241878,3.4662743596,26.0,5.2651831729,23721,62.201187713,10.074116010739036
37047,Columbus,167.59442,597:1,13.731302319,3.9946260636,30.2,5.7421578066,12007,89.696383067,9.393245092030718
37049,Craven,326.20054,307:1,10.97625947,3.4662490651,25.1,5.0542578143,24244,35.376290707,10.095924443071176
37051,Cumberland,465.53612000000004,215:1,10.615419395,4.7144446505,22.0,5.178083706,97846,13.841686384,11.491150093092388
37053,Currituck,82.29671,1215:1,9.8336500058,3.0575902157,10.5,4.9287528476,7437,95.882562278,8.9142228207033
37055,Dare,215.16662,465:1,11.023402998,3.9545791163,13.3,4.6391950382,7898,22.0804551,8.974364841846596
37057,Davidson,126.42731,791:1,12.310656824,3.3685089864,21.2,5.1346100536,40832,47.714437933,10.617221366704461
37059,Davie,103.14133,970:1,10.240700219,3.1402247841,13.9,4.9035827518,9330,70.44156209,9.140990293841389
37061,Duplin,74.71729,1338:1,15.66475041,3.3147872424,26.8,5.266134138,10777,100.0,9.285169512596832
37063,Durham,771.7606800000001,130:1,10.587203944,3.0575628249,15.1,4.6344712143,106243,5.1130888795,11.573484202263385
37065,Edgecombe,73.72215,1356:1,11.100467993,5.7318168213,39.0,5.5067104778,11411,44.795501022,9.34233308143468
37067,Forsyth,389.90026,256:1,11.490865664,3.5335557831,23.2,4.9807551524,97657,7.5814840952,11.489216618323422
37069,Franklin,140.25792,713:1,12.739343467,3.4866065034,15.0,5.1425601644,17800,78.892567045,9.786953736280177
37071,Gaston,301.80154,331:1,11.213357761,3.3918458827,18.5,5.1127905007,60535,18.861294271,11.01097698914184
37073,Gates,,,9.1778924839,3.3442244859,19.5,5.3645863218,2022,100.0,7.611842399580417
37075,Graham,99.3542,1007:1,16.458262927,4.3537414966,23.3,5.5378281718,1712,100.0,7.445417556701687
37077,Granville,395.54927000000004,253:1,11.997114242,3.047800269,15.8,5.2278382627,15179,71.433958552,9.627668172626858
37079,Greene,63.32197,1579:1,17.894579215,2.8905926233,29.7,5.219913366,5790,100.0,8.663887570567042
37081,Guilford,353.54068,283:1,10.096884123,3.9140433321,20.6,5.3674821198,139436,14.156686046,11.845360993609182
37083,Halifax,175.48310999999998,570:1,12.244486089,5.177959946,41.6,5.4270881951,11186,56.058985644,9.322418275381533
37085,Harnett,110.9721,901:1,11.851788392,3.9052531316,18.3,5.3754312945,40061,64.15608529,10.598158571464415
37087,Haywood,406.54925000000003,246:1,12.156930225,3.0117340287,17.3,5.133644327,14087,46.884311231,9.553007665260306
37089,Henderson,275.09855,364:1,13.610216959,2.9071934402,15.5,5.0659525491,25658,34.279030968,10.152610692809285
37091,Hertford,267.31095,374:1,11.856907155,4.6702317291,32.0,5.1778756073,4634,77.445248701,8.441175704992322
37093,Hoke,203.87172999999999,491:1,11.169322406,4.4384896468,24.3,5.3386386412,16456,42.609730809,9.708445431332793
37095,Hyde,21.7061,4607:1,18.879371877,5.8060879369,31.2,5.2935092737,998,100.0,6.905753276311464
37097,Iredell,261.87973,382:1,9.8828417934,3.2459529161,11.9,4.9461303016,47569,31.858719931,10.769936567553067
37099,Jackson,475.61359,210:1,15.694090848,3.5946080879,21.3,5.3085359661,9321,66.665893433,9.140025198061156
37101,Johnston,113.65749999999998,880:1,12.683202933,3.1795842914,14.1,4.9632170803,60104,53.003949092,11.003831674048996
37103,Jones,42.54867,2350:1,13.603957515,3.1578947368,30.3,5.4619350134,1987,100.0,7.594381242551817
37105,Lee,217.71873,459:1,13.770608915,3.9838157485,22.9,5.2467488841,16469,42.101603856,9.709235104874208
37107,Lenoir,176.70096999999998,566:1,12.888093626,3.43412527,32.0,5.4385434276,12223,61.811980697,9.411074701777263
37109,Lincoln,86.75203,1153:1,10.318338823,3.0020506966,13.2,5.1119925265,21089,73.739200553,9.956506856511764
37111,McDowell,211.61428,473:1,13.577497803,3.2205563227,20.1,5.3173284186,10804,73.011350891,9.287671714912506
37113,Macon,223.88836999999998,447:1,16.231406197,3.1655548817,20.5,5.2443361035,7386,74.717674393,8.90734159541251
37115,Madison,212.94912,470:1,10.772217699,3.1665363565,20.0,5.1480453767,5012,100.0,8.51959031601596
37117,Martin,121.22908000000001,825:1,12.643381879,4.3603978718,30.8,5.4295752408,4706,74.935318415,8.456593569287309
