county,si_crude_rate,year
Alamance,58.4,2017
Alexander,34.1,2017
Alleghany,30.2,2017
Anson,57.8,2017
Ashe,23.9,2017
Avery,23.7,2017
Beaufort,57.9,2017
Bertie,42.5,2017
Bladen,48.9,2017
Brunswick,32.0,2017
Buncombe,60.0,2017
Burke,41.1,2017
Cabarrus,38.7,2017
Caldwell,39.1,2017
Camden,20.0,2017
Carteret,33.9,2017
Caswell,26.6,2017
Catawba,38.4,2017
Chatham,21.6,2017
Cherokee,26.9,2017
Chowan,51.2,2017
Clay,18.9,2017
Cleveland,34.2,2017
Columbus,29.6,2017
Craven,52.6,2017
Cumberland,45.1,2017
Currituck,20.0,2017
Dare,27.0,2017
Davidson,44.9,2017
Davie,46.2,2017
Duplin,57.1,2017
Durham,42.7,2017
Edgecombe,71.2,2017
Forsyth,65.2,2017
Franklin,25.4,2017
Gaston,55.3,2017
Gates,34.6,2017
Graham,31.6,2017
Granville,27.2,2017
Greene,36.0,2017
Guilford,64.4,2017
Halifax,60.4,2017
Harnett,22.3,2017
Haywood,59.3,2017
Henderson,55.8,2017
Hertford,47.9,2017
Hoke,42.1,2017
Hyde,44.0,2017
Iredell,39.3,2017
Jackson,24.7,2017
Johnston,25.2,2017
Jones,37.7,2017
Lee,47.4,2017
Lenoir,47.0,2017
Lincoln,36.1,2017
Macon,43.1,2017
Madison,39.9,2017
Martin,29.8,2017
McDowell,51.3,2017
Mecklenburg,30.4,2017
Mitchell,38.0,2017
Montgomery,32.4,2017
Moore,30.7,2017
Nash,36.8,2017
New Hanover,66.4,2017
Northampton,48.5,2017
Onslow,36.4,2017
Orange,42.9,2017
Pamlico,29.6,2017
Pasquotank,44.9,2017
Pender,39.2,2017
Perquimans,45.2,2017
Person,36.6,2017
Pitt,67.8,2017
Polk,23.4,2017
Randolph,42.0,2017
Richmond,56.6,2017
Robeson,91.0,2017
Rockingham,57.7,2017
Rowan,47.4,2017
Rutherford,44.9,2017
Sampson,32.1,2017
Scotland,69.0,2017
Stanly,67.9,2017
Stokes,53.0,2017
Surry,50.2,2017
Swain,29.7,2017
Transylvania,52.5,2017
Tyrrell,29.9,2017
Union,29.3,2017
Vance,31.9,2017
Wake,24.7,2017
Warren,20.7,2017
Washington,29.6,2017
Watauga,24.9,2017
Wayne,32.9,2017
Wilkes,47.9,2017
Wilson,35.1,2017
Yadkin,51.6,2017
Yancey,29.4,2017
Alamance,63.2,2018
Alexander,44.2,2018
Alleghany,25.6,2018
Anson,55.5,2018
Ashe,26.3,2018
Avery,34.3,2018
Beaufort,61.4,2018
Bertie,48.4,2018
Bladen,54.9,2018
Brunswick,35.5,2018
Buncombe,77.5,2018
Burke,46.8,2018
Cabarrus,41.9,2018
Caldwell,51.9,2018
Camden,16.8,2018
Carteret,30.3,2018
Caswell,31.2,2018
Catawba,46.0,2018
Chatham,31.8,2018
Cherokee,56.3,2018
Chowan,40.6,2018
Clay,32.3,2018
Cleveland,38.7,2018
Columbus,22.2,2018
Craven,56.5,2018
Cumberland,52.0,2018
Currituck,21.0,2018
Dare,27.1,2018
Davidson,56.9,2018
Davie,50.6,2018
Duplin,44.2,2018
Durham,51.4,2018
Edgecombe,63.6,2018
Forsyth,80.3,2018
Franklin,24.4,2018
Gaston,52.5,2018
Gates,25.7,2018
Graham,56.8,2018
Granville,34.7,2018
Greene,32.3,2018
Guilford,75.9,2018
Halifax,66.2,2018
Harnett,31.6,2018
Haywood,68.4,2018
Henderson,66.3,2018
Hertford,53.0,2018
Hoke,35.0,2018
Hyde,38.1,2018
Iredell,44.7,2018
Jackson,34.9,2018
Johnston,32.2,2018
Jones,36.8,2018
Lee,52.2,2018
Lenoir,49.9,2018
Lincoln,39.5,2018
Macon,48.1,2018
Madison,52.6,2018
Martin,31.3,2018
McDowell,72.5,2018
Mecklenburg,30.8,2018
Mitchell,42.0,2018
Montgomery,39.5,2018
Moore,30.8,2018
Nash,43.2,2018
New Hanover,54.4,2018
Northampton,34.0,2018
Onslow,33.9,2018
Orange,49.5,2018
Pamlico,32.8,2018
Pasquotank,34.1,2018
