county,sii_crude_rate,year
Alamance,11.8,2021
Alexander,19.5,2021
Alleghany,9.9,2021
Anson,13.9,2021
Ashe,12.4,2021
Avery,8.4,2021
Beaufort,9.0,2021
Bertie,11.0,2021
Bladen,10.9,2021
Brunswick,5.9,2021
Buncombe,14.0,2021
Burke,10.7,2021
Cabarrus,12.1,2021
Caldwell,11.9,2021
Camden,9.4,2021
Carteret,7.6,2021
Caswell,7.1,2021
Catawba,13.1,2021
Chatham,4.6,2021
Cherokee,2.8,2021
Chowan,13.9,2021
Clay,0.0,2021
Cleveland,15.6,2021
Columbus,6.9,2021
Craven,12.9,2021
Cumberland,12.4,2021
Currituck,6.8,2021
Dare,8.5,2021
Davidson,12.0,2021
Davie,14.1,2021
Duplin,12.1,2021
Durham,9.8,2021
Edgecombe,12.2,2021
Forsyth,14.1,2021
Franklin,6.6,2021
Gaston,12.7,2021
Gates,3.8,2021
Graham,11.2,2021
Granville,11.3,2021
Greene,10.4,2021
Guilford,14.5,2021
Halifax,11.2,2021
Harnett,9.0,2021
Haywood,11.7,2021
Henderson,8.1,2021
Hertford,5.6,2021
Hoke,10.2,2021
Hyde,19.6,2021
Iredell,9.8,2021
Jackson,8.4,2021
Johnston,7.4,2021
Jones,10.9,2021
Lee,8.1,2021
Lenoir,8.9,2021
Lincoln,9.3,2021
Macon,10.7,2021
Madison,14.0,2021
Martin,6.0,2021
McDowell,12.8,2021
Mecklenburg,11.0,2021
Mitchell,18.8,2021
Montgomery,10.1,2021
Moore,9.7,2021
Nash,10.5,2021
New Hanover,8.1,2021
Northampton,7.6,2021
Onslow,12.3,2021
Orange,11.1,2021
Pamlico,19.5,2021
Pasquotank,15.5,2021
Pender,9.1,2021
Perquimans,15.8,2021
Person,9.9,2021
Pitt,13.1,2021
Polk,6.1,2021
Randolph,8.1,2021
Richmond,14.6,2021
Robeson,11.8,2021
Rockingham,14.9,2021
Rowan,12.2,2021
Rutherford,18.1,2021
Sampson,8.5,2021
Scotland,14.4,2021
Stanly,12.4,2021
Stokes,14.5,2021
Surry,12.0,2021
Swain,12.6,2021
Transylvania,12.6,2021
Tyrrell,12.4,2021
Union,10.1,2021
Vance,9.5,2021
Wake,9.5,2021
Warren,3.2,2021
Washington,5.6,2021
Watauga,9.7,2021
Wayne,9.6,2021
Wilkes,15.0,2021
Wilson,14.4,2021
Yadkin,14.5,2021
Yancey,9.2,2021
Alamance,16.0,2022
Alexander,20.6,2022
Alleghany,11.7,2022
Anson,17.2,2022
Ashe,16.1,2022
Avery,15.6,2022
Beaufort,10.4,2022
Bertie,9.4,2022
Bladen,11.0,2022
Brunswick,5.6,2022
Buncombe,15.9,2022
Burke,12.7,2022
Cabarrus,12.9,2022
Caldwell,16.3,2022
Camden,14.7,2022
Carteret,3.9,2022
Caswell,7.2,2022
Catawba,12.2,2022
Chatham,5.0,2022
Cherokee,5.1,2022
Chowan,13.2,2022
Clay,3.5,2022
Cleveland,14.1,2022
Columbus,9.6,2022
Craven,18.1,2022
Cumberland,11.8,2022
Currituck,7.4,2022
Dare,11.3,2022
Davidson,13.1,2022
Davie,16.2,2022
Duplin,12.1,2022
Durham,9.7,2022
Edgecombe,14.3,2022
Forsyth,18.5,2022
Franklin,9.1,2022
Gaston,10.0,2022
Gates,5.8,2022
Graham,3.7,2022
Granville,9.5,2022
Greene,10.4,2022
Guilford,15.3,2022
Halifax,10.7,2022
Harnett,10.3,2022
Haywood,11.8,2022
Henderson,11.0,2022
Hertford,6.2,2022
Hoke,11.6,2022
Hyde,4.4,2022
Iredell,10.9,2022
Jackson,9.1,2022
Johnston,7.5,2022
Jones,25.0,2022
Lee,9.9,2022
Lenoir,6.4,2022
Lincoln,9.4,2022
Macon,12.2,2022
Madison,9.3,2022
Martin,9.8,2022
McDowell,16.4,2022
Mecklenburg,13.5,2022
Mitchell,19.5,2022
Montgomery,3.9,2022
Moore,6.4,2022
Nash,10.0,2022
New Hanover,8.0,2022
Northampton,7.6,2022
Onslow,14.4,2022
Orange,9.2,2022
Pamlico,7.3,2022
Pasquotank,19.4,2022
Pender,5.4,2022
Perquimans,9.7,2022
Person,7.6,2022
Pitt,14.2,2022
Polk,8.7,2022
Randolph,9.6,2022
Richmond,16.5,2022
Robeson,14.2,2022
Rockingham,14.9,2022
Rowan,12.0,2022
Rutherford,19.3,2022
Sampson,10.0,2022
Scotland,14.8,2022
Stanly,11.0,2022
Stokes,14.2,2022
Surry,11.2,2022
Swain,12.6,2022
Transylvania,25.4,2022
Tyrrell,12.5,2022
Union,11.0,2022
Vance,13.3,2022
Wake,9.7,2022
Warren,12.7,2022
Washington,5.7,2022
Watauga,10.7,2022
Wayne,7.6,2022
Wilkes,15.4,2022
Wilson,15.4,2022
Yadkin,14.3,2022
Yancey,8.1,2022
Alamance,14.9,2023
Alexander,15.1,2023
Alleghany,17.5,2023
Anson,24.9,2023
Ashe,14.8,2023
Avery,16.7,2023
Beaufort,8.9,2023
Bertie,5.9,2023
Bladen,17.0,2023
Brunswick,7.2,2023
Buncombe,19.0,2023
Burke,13.3,2023
Cabarrus,13.7,2023
Caldwell,12.8,2023
Camden,18.1,2023
Carteret,4.7,2023
Caswell,10.0,2023
Catawba,12.7,2023
Chatham,6.7,2023
Cherokee,6.2,2023
Chowan,10.9,2023
Clay,5.9,2023
Cleveland,13.9,2023
Columbus,4.8,2023
Craven,16.2,2023
Cumberland,13.3,2023
Currituck,6.2,2023
Dare,7.4,2023
Davidson,14.6,2023
Davie,13.1,2023
Duplin,10.8,2023
Durham,10.3,2023
Edgecombe,14.0,2023
Forsyth,18.0,2023
Franklin,6.7,2023
Gaston,9.9,2023
Gates,2.9,2023
Graham,10.4,2023
Granville,9.6,2023
Greene,14.5,2023
Guilford,15.3,2023
Halifax,9.8,2023
Harnett,9.9,2023
Haywood,9.9,2023
Henderson,10.3,2023
Hertford,4.1,2023
Hoke,10.3,2023
Hyde,17.6,2023
Iredell,12.7,2023
Jackson,8.1,2023
Johnston,9.5,2023
Jones,24.2,2023
Lee,8.7,2023
Lenoir,10.0,2023
Lincoln,9.3,2023
Macon,14.2,2023
Madison,17.8,2023
Martin,7.1,2023
McDowell,20.5,2023
Mecklenburg,12.9,2023
Mitchell,23.0,2023
Montgomery,8.2,2023
Moore,9.0,2023
Nash,9.9,2023
New Hanover,8.4,2023
Northampton,11.1,2023
Onslow,15.2,2023
Orange,10.7,2023
Pamlico,11.5,2023
Pasquotank,16.6,2023
Pender,6.8,2023
Perquimans,15.2,2023
Person,12.2,2023
Pitt,11.2,2023
Polk,7.6,2023
Randolph,8.8,2023
Richmond,11.3,2023
Robeson,14.2,2023
Rockingham,15.6,2023
Rowan,12.8,2023
Rutherford,18.6,2023
Sampson,12.6,2023
Scotland,14.4,2023
Stanly,14.1,2023
Stokes,14.0,2023
Surry,13.2,2023
Swain,13.7,2023
Transylvania,17.6,2023
Tyrrell,0.0,2023
Union,11.2,2023
Vance,11.0,2023
Wake,9.2,2023
Warren,10.7,2023
Washington,6.7,2023
Watauga,9.2,2023
Wayne,10.8,2023
Wilkes,14.8,2023
Wilson,19.3,2023
Yadkin,14.2,2023
Yancey,13.5,2023
Alamance,14.1,2024
Alexander,20.6,2024
Alleghany,12.0,2024
Anson,25.1,2024
Ashe,11.2,2024
